uf,orgao,regiao_id,regiao_nome,cultura,safra,data_referencia,pct_plantado,pct_colhido,produtividade_kg_ha,condicao_lavoura,fonte
MT,imea,medio_norte,Médio-Norte,soja,2025/2026,2026-06-11,100,100,,Safra 2025/26 encerrada,Imea/Conab - fechamento safra 25/26
MT,imea,norte,Norte,soja,2025/2026,2026-06-11,100,100,,Safra 2025/26 encerrada,Imea/Conab - fechamento safra 25/26
MT,imea,nordeste,Nordeste,soja,2025/2026,2026-06-11,100,100,,Safra 2025/26 encerrada,Imea/Conab - fechamento safra 25/26
MT,imea,noroeste,Noroeste,soja,2025/2026,2026-06-11,100,100,,Safra 2025/26 encerrada,Imea/Conab - fechamento safra 25/26
MT,imea,oeste,Oeste,soja,2025/2026,2026-06-11,100,100,,Safra 2025/26 encerrada,Imea/Conab - fechamento safra 25/26
MT,imea,centro_sul,Centro-Sul,soja,2025/2026,2026-06-11,100,100,,Safra 2025/26 encerrada,Imea/Conab - fechamento safra 25/26
MT,imea,sudeste,Sudeste,soja,2025/2026,2026-06-11,100,100,,Safra 2025/26 encerrada,Imea/Conab - fechamento safra 25/26
RS,emater,bage,Bagé,soja,2025/2026,2026-05-14,100,100,,Safra 2025/26 encerrada,Emater/RS-Ascar - Informativo Conjuntural (fechamento)
RS,emater,caxias_do_sul,Caxias do Sul,soja,2025/2026,2026-05-14,100,100,,Safra 2025/26 encerrada,Emater/RS-Ascar - Informativo Conjuntural (fechamento)
RS,emater,erechim,Erechim,soja,2025/2026,2026-05-14,100,100,,Safra 2025/26 encerrada,Emater/RS-Ascar - Informativo Conjuntural (fechamento)
RS,emater,frederico_westphalen,Frederico Westphalen,soja,2025/2026,2026-05-14,100,100,,Safra 2025/26 encerrada,Emater/RS-Ascar - Informativo Conjuntural (fechamento)
RS,emater,ijui,Ijuí,soja,2025/2026,2026-05-14,100,100,,Safra 2025/26 encerrada,Emater/RS-Ascar - Informativo Conjuntural (fechamento)
RS,emater,lajeado,Lajeado,soja,2025/2026,2026-05-14,100,100,,Safra 2025/26 encerrada,Emater/RS-Ascar - Informativo Conjuntural (fechamento)
RS,emater,passo_fundo,Passo Fundo,soja,2025/2026,2026-05-14,100,100,,Safra 2025/26 encerrada,Emater/RS-Ascar - Informativo Conjuntural (fechamento)
RS,emater,pelotas,Pelotas,soja,2025/2026,2026-05-14,100,100,,Safra 2025/26 encerrada,Emater/RS-Ascar - Informativo Conjuntural (fechamento)
RS,emater,porto_alegre,Porto Alegre,soja,2025/2026,2026-05-14,100,100,,Safra 2025/26 encerrada,Emater/RS-Ascar - Informativo Conjuntural (fechamento)
RS,emater,santa_maria,Santa Maria,soja,2025/2026,2026-05-14,100,100,,Safra 2025/26 encerrada,Emater/RS-Ascar - Informativo Conjuntural (fechamento)
RS,emater,santa_rosa,Santa Rosa,soja,2025/2026,2026-05-14,100,100,2350,Safra 2025/26 encerrada,"Emater/RS-Ascar (regional Santa Rosa, Fenasoja 30/04)"
RS,emater,soledade,Soledade,soja,2025/2026,2026-05-14,100,100,,Safra 2025/26 encerrada,Emater/RS-Ascar - Informativo Conjuntural (fechamento)
